"node_ID","eigenvector_centrality","betweeness","degree","network","animal","condition","replicate_num"
"1","0.703456633709421","0","14","guppy","guppy","low_risk","1"
"2","0.601036630286495","1","14","guppy","guppy","low_risk","1"
"3","0.802091973745409","0.1","14","guppy","guppy","low_risk","1"
"4","0.924292678486609","0","14","guppy","guppy","low_risk","1"
"5","1","0","14","guppy","guppy","low_risk","1"
"6","0.88338617948665","0","14","guppy","guppy","low_risk","1"
"7","0.679050803101983","0.9","14","guppy","guppy","low_risk","1"
"8","0.929640537527716","0","14","guppy","guppy","low_risk","1"
"1","0.854239121343847","0.25","10","guppy","guppy","low_risk","2"
"2","0.778543565477452","1","12","guppy","guppy","low_risk","2"
"3","0.439129720835277","0.75","8","guppy","guppy","low_risk","2"
"4","0.724341685384506","0.25","10","guppy","guppy","low_risk","2"
"5","1","0","12","guppy","guppy","low_risk","2"
"6","0.776933739845941","0.375","12","guppy","guppy","low_risk","2"
"7","0.663060968824428","0.625","12","guppy","guppy","low_risk","2"
"1","0.881919442106519","0","14","guppy","guppy","low_risk","3"
"2","0.699611632971007","1","14","guppy","guppy","low_risk","3"
"3","0.860088733193227","0","14","guppy","guppy","low_risk","3"
"4","0.779616281200556","0","14","guppy","guppy","low_risk","3"
"5","0.628011060467755","1","14","guppy","guppy","low_risk","3"
"6","1","0","14","guppy","guppy","low_risk","3"
"7","0.852594597375391","0","14","guppy","guppy","low_risk","3"
"8","0.875466230920823","0","14","guppy","guppy","low_risk","3"
"1","1","0","14","guppy","guppy","low_risk","4"
"2","0.712902814330767","0.333333333333333","14","guppy","guppy","low_risk","4"
"3","0.930902038944697","0","14","guppy","guppy","low_risk","4"
"4","0.624533599032043","1","14","guppy","guppy","low_risk","4"
"5","0.812902048050122","0.166666666666667","14","guppy","guppy","low_risk","4"
"6","0.877552118834088","0.333333333333333","14","guppy","guppy","low_risk","4"
"7","0.734674901283501","0.0833333333333333","14","guppy","guppy","low_risk","4"
"8","0.92166786154957","0","14","guppy","guppy","low_risk","4"
"1","0.878689592645373","0.166666666666667","14","guppy","guppy","low_risk","5"
"2","0.98749278379574","0","14","guppy","guppy","low_risk","5"
"3","0.594083043616786","0.666666666666667","14","guppy","guppy","low_risk","5"
"4","1","0","14","guppy","guppy","low_risk","5"
"5","0.827027827153473","0","14","guppy","guppy","low_risk","5"
"6","0.892302782842788","0","14","guppy","guppy","low_risk","5"
"7","0.531847259617863","1","14","guppy","guppy","low_risk","5"
"8","0.981832777244672","0","14","guppy","guppy","low_risk","5"
"1","1","0","14","guppy","guppy","low_risk","6"
"2","0.839333909647229","0.09375","14","guppy","guppy","low_risk","6"
"3","0.687548402519141","0.171875","14","guppy","guppy","low_risk","6"
"4","0.878057314256307","0","14","guppy","guppy","low_risk","6"
"5","0.457005930620863","1","14","guppy","guppy","low_risk","6"
"6","0.742806747486842","0.09375","14","guppy","guppy","low_risk","6"
"7","0.618295126181954","0.125","14","guppy","guppy","low_risk","6"
"8","0.93914265024974","0","14","guppy","guppy","low_risk","6"
"1","0.694302987773521","0","14","guppy","guppy","low_risk","7"
"2","1","0","14","guppy","guppy","low_risk","7"
"3","0.526362975661389","0.533333333333333","14","guppy","guppy","low_risk","7"
"4","0.604900160212934","0","14","guppy","guppy","low_risk","7"
"5","0.882158028577443","0","14","guppy","guppy","low_risk","7"
"6","0.912422684807126","0","14","guppy","guppy","low_risk","7"
"7","0.431715493945798","1","14","guppy","guppy","low_risk","7"
"8","0.901738756801125","0","14","guppy","guppy","low_risk","7"
"1","0.615109395907066","0.318181818181818","12","guppy","guppy","low_risk","8"
"2","0.631747555968644","0","12","guppy","guppy","low_risk","8"
"3","0.876009473794543","0","14","guppy","guppy","low_risk","8"
"4","1","0","14","guppy","guppy","low_risk","8"
"5","0.940459197905919","0","14","guppy","guppy","low_risk","8"
"6","0.49216393220033","1","14","guppy","guppy","low_risk","8"
"7","0.589398942606252","0.363636363636364","14","guppy","guppy","low_risk","8"
"8","0.857741237537291","0","14","guppy","guppy","low_risk","8"
"1","0.970398999949257","0","14","guppy","guppy","low_risk","9"
"2","0.949562613235204","0","14","guppy","guppy","low_risk","9"
"3","1","0","14","guppy","guppy","low_risk","9"
"4","0.685306491499902","1","14","guppy","guppy","low_risk","9"
"5","0.718119743408504","0.333333333333333","14","guppy","guppy","low_risk","9"
"6","0.913689906276723","0","14","guppy","guppy","low_risk","9"
